sent	avg_scale	nouns	proper	event	pronoun	verb	adj	adv	preposition	article	conjunction
0	2.75	0	4	0	1	2	0	1	0	0	0
1	5.0	0	1	0	4	1	0	0	1	0	0
2	5.75	1	0	0	1	1	1	0	2	0	0
3	5.5	1	0	0	5	2	0	0	1	0	1
4	4.75	0	2	0	2	2	0	0	0	0	1
5	5.5	2	0	0	2	2	0	0	0	0	0
6	2.0	6	1	0	1	1	3	0	1	1	0
7	2.0	4	0	0	0	2	2	1	1	0	0
0	1.5	1	0	0	1	2	0	0	0	0	0
1	4.0	3	0	0	0	0	2	0	0	1	0
2	2.75	0	2	0	0	3	0	1	0	0	0
3	2.25	1	1	0	0	1	0	0	0	0	0
4	4.75	1	0	0	1	1	0	0	1	1	0
5	2.0	0	3	0	0	2	0	0	0	0	0
6	4.0	3	2	0	0	1	2	0	1	2	0
7	4.75	2	1	0	0	0	1	0	0	1	0
8	3.0	1	1	0	0	1	2	0	1	1	0
9	5.0	2	1	0	0	1	2	0	1	0	0
